question,answer,source,focus_area,q_word_len,a_word_len
How many people are affected by atopic dermatitis ?,Atopic dermatitis is a common disorder that affects 10 to 20 percent of children and 5 to 10 percent of adults.,GHR,atopic dermatitis,9,21
What are the treatments for Congenital Myopathy ?,"Currently, only central core disease has an effective treatment (see above). There are no known cures for any of these disorders. Supportive treatment may involve orthopedic treatments, as well as physical, occupational or speech therapy.",NINDS,Congenital Myopathy,8,35
what research (or clinical trials) is being done for Developmental Dyspraxia ?,"The NINDS supports research on developmental disorders, such as developmental dyspraxia, aimed at learning more about these disorders, and finding ways to prevent and treat them.",NINDS,Developmental Dyspraxia,12,26
"How many people are affected by blepharophimosis, ptosis, and epicanthus inversus syndrome ?",The prevalence of BPES is unknown.,GHR,"blepharophimosis, ptosis, and epicanthus inversus syndrome",13,6
How many people are affected by myoclonus-dystonia ?,The prevalence of myoclonus-dystonia is unknown. This condition has been described in people worldwide.,GHR,myoclonus-dystonia,8,14
How many people are affected by pseudoxanthoma elasticum ?,"PXE affects approximately 1 in 50,000 people worldwide. For reasons that are unclear, this disorder is diagnosed twice as frequently in females as in males.",GHR,pseudoxanthoma elasticum,9,25
How many people are affected by autosomal recessive axonal neuropathy with neuromyotonia ?,"Autosomal recessive axonal neuropathy with neuromyotonia is a rare form of inherited peripheral neuropathy. This group of conditions affects an estimated 1 in 2,500 people. The prevalence of autosomal recessive axonal neuropathy with neuromyotonia is unknown.",GHR,autosomal recessive axonal neuropathy with neuromyotonia,13,36
How many people are affected by 3-methylcrotonyl-CoA carboxylase deficiency ?,"This condition is detected in an estimated 1 in 36,000 newborns worldwide.",GHR,3-methylcrotonyl-CoA carboxylase deficiency,10,12
How to diagnose Poland syndrome ?,"When is Poland syndrome typically first diagnosed? The severity of Poland syndrome differs from person to person. As a result it is not often diagnosed or reported. Sometimes, a person does not realize they have the condition until puberty, when lopsided (asymmetrical) growth makes it more obvious.",GARD,Poland syndrome,6,47
How many people are affected by sick sinus syndrome ?,Sick sinus syndrome accounts for 1 in 600 patients with heart disease who are over age 65. The incidence of this condition increases with age.,GHR,sick sinus syndrome,10,25
